FirstName,LastName,Position,JerseyNo,Height,Weight,DOB,College,
Jaylen,Brown,G/F,7,6 ft 6 in (1.98 m),223 lb (101 kg),1996–10–24,California,
Carsen,Edwards,G,4,5 ft 11 in (1.80 m),200 lb (91 kg),1998–03–12,Purdue,
Tacko,Fall,C,99,7 ft 5 in (2.26 m),311 lb (141 kg),1995–12–10,UCF,
Javonte,Green,G/F,43,6 ft 4 in (1.93 m),205 lb (93 kg),1993–07–23,Radford,
Gordon,Hayward,F,20,6 ft 7 in (2.01 m),225 lb (102 kg),1990–03–23,Butler,
Enes,Kanter,C,11,6 ft 10 in (2.08 m),250 lb (113 kg),1992–05–20,Kentucky,
Romeo,Langford,G/F,45,6 ft 4 in (1.93 m),216 lb (98 kg),1999–10–25,Indiana,
Semi,Ojeleye,F,37,6 ft 6 in (1.98 m),240 lb (109 kg),1994–12–05,SMU,
Vincent,Poirier,F/C,77,7 ft 0 in (2.13 m),235 lb (107 kg),1993–10–27,NaN,
Marcus,Smart,G,36,6 ft 3 in (1.91 m),220 lb (100 kg),1994–03–06,Oklahoma State,
Jayson,Tatum,G/F,0,6 ft 8 in (2.03 m),210 lb (95 kg),1998–03–03,Duke,
Daniel,Theis,F/C,27,6 ft 8 in (2.03 m),245 lb (111 kg),1992–04–04,NaN,
Kemba,Walker,G,8,6 ft 0 in (1.83 m),184 lb (83 kg),1990–05–08,Connecticut,
Brad,Wanamaker,G,9,6 ft 3 in (1.91 m),210 lb (95 kg),1989–07–25,Pittsburgh,
Tremont,Waters,G,51,5 ft 10 in (1.78 m),175 lb (79 kg),1998–01–10,LSU,
Grant,Williams,F,12,6 ft 6 in (1.98 m),236 lb (107 kg),1998–11–30,Tennessee,
Robert,Williams,F/C,44,6 ft 8 in (2.03 m),237 lb (108 kg),1997–10–17,Texas A&M,
Jarrett,Allen,C,31,6 ft 11 in (2.11 m),243 lb (110 kg),1998–04–21,Texas,
Wilson,Chandler,F,21,6 ft 8 in (2.03 m),235 lb (107 kg),1987–05–10,DePaul,
Chris,Chiozza,G,4,5 ft 11 in (1.80 m),176 lb (80 kg),1995–11–25,Florida,
Nicolas,Claxton,F/C,33,6 ft 11 in (2.11 m),215 lb (98 kg),1999–04–17,Georgia,
Spencer,Dinwiddie,G,26,6 ft 5 in (1.96 m),215 lb (98 kg),1993–04–06,Colorado,
Kevin,Durant,F,7,6 ft 10 in (2.08 m),240 lb (109 kg),1988–09–29,Texas,
Joe,Harris,G/F,12,6 ft 6 in (1.98 m),220 lb (100 kg),1991–09–07,Virginia,
Kyrie,Irving,G,11,6 ft 2 in (1.88 m),195 lb (88 kg),1992–03–23,Duke,
DeAndre,Jordan,C,6,6 ft 11 in (2.11 m),265 lb (120 kg),1988–07–21,Texas A&M,
Rodions,Kurucs,F,0,6 ft 9 in (2.06 m),228 lb (103 kg),1998–02–05,NaN,
Caris,LeVert,G,22,6 ft 6 in (1.98 m),205 lb (93 kg),1994–08–25,Michigan,
Timothe,Luwawu-Cabarrot,G/F,9,6 ft 7 in (2.01 m),210 lb (95 kg),1995–05–09,NaN,
Jeremiah,Martin,G,0,6 ft 2 in (1.88 m),185 lb (84 kg),1996–06–19,Memphis,
Dzanan,Musa,G/F,13,6 ft 9 in (2.06 m),217 lb (98 kg),1999–05–08,NaN,
Theo,Pinson,G/F,1,6 ft 5 in (1.96 m),212 lb (96 kg),1995–11–05,North Carolina,
Taurean,Prince,F,2,6 ft 7 in (2.01 m),218 lb (99 kg),1994–03–22,Baylor,
Garrett,Temple,G/F,17,6 ft 5 in (1.96 m),195 lb (88 kg),1986–05–08,LSU,
Kadeem,Allen,G,0,6 ft 1 in (1.85 m),200 lb (91 kg),1993–01–15,Arizona,
RJ,Barrett,G,9,6 ft 6 in (1.98 m),214 lb (97 kg),2000–07–14,Duke,
Ignas,Brazdeikis,F,17,6 ft 6 in (1.98 m),221 lb (100 kg),1999–01–08,Michigan,
Reggie,Bullock,G/F,25,6 ft 6 in (1.98 m),205 lb (93 kg),1991–03–16,North Carolina,
Damyean,Dotson,G,21,6 ft 5 in (1.96 m),210 lb (95 kg),1994–05–06,Houston,
Wayne,Ellington,G,2,6 ft 4 in (1.93 m),207 lb (94 kg),1987–11–29,North Carolina,
Taj,Gibson,F,67,6 ft 9 in (2.06 m),232 lb (105 kg),1985–06–24,USC,
Maurice,Harkless,G/F,3,6 ft 7 in (2.01 m),220 lb (100 kg),1993–05–11,St. John's,
Kevin,Knox,F,20,6 ft 7 in (2.01 m),215 lb (98 kg),1999–08–11,Kentucky,
Frank,Ntilikina,G,11,6 ft 4 in (1.93 m),200 lb (91 kg),1998–07–28,NaN,
Elfrid,Payton,G,6,6 ft 3 in (1.91 m),195 lb (88 kg),1994–02–22,Louisiana-Lafayette,
Bobby,Portis,F,1,6 ft 10 in (2.08 m),250 lb (113 kg),1995–02–10,Arkansas,
Julius,Randle,F,30,6 ft 8 in (2.03 m),250 lb (113 kg),1994–11–29,Kentucky,
Mitchell,Robinson,C,23,7 ft 0 in (2.13 m),240 lb (109 kg),1998–04–01,Western Kentucky,
Dennis,Smith,G,5,6 ft 2 in (1.88 m),205 lb (93 kg),1997–11–25,North Carolina State,
Allonzo,Trier,G,14,6 ft 4 in (1.93 m),200 lb (91 kg),1996–01–17,Arizona,
Kenny,Wooten,F,45,6 ft 8 in (2.03 m),235 lb (107 kg),1998–04–17,NaN,
Alec,Burks,G,20,6 ft 6 in (1.98 m),214 lb (97 kg),1991–07–20,Colorado,
Joel,Embiid,F/C,21,7 ft 0 in (2.13 m),280 lb (127 kg),1994–03–16,Kansas,
Tobias,Harris,F,12,6 ft 8 in (2.03 m),226 lb (103 kg),1992–07–15,Tennessee,
Al,Horford,F/C,42,6 ft 9 in (2.06 m),240 lb (109 kg),1986–06–03,Florida,
Furkan,Korkmaz,G/F,30,6 ft 7 in (2.01 m),202 lb (92 kg),1997–07–24,NaN,
