MemberID,FirstName,LastName,TeamName
0,Jaylen,Brown,Boston Celtics
1,Carsen,Edwards,Boston Celtics
2,Tacko,Fall,Boston Celtics
3,Javonte,Green,Boston Celtics
4,Gordon,Hayward,Boston Celtics
5,Enes,Kanter,Boston Celtics
6,Romeo,Langford,Boston Celtics
7,Semi,Ojeleye,Boston Celtics
8,Vincent,Poirier,Boston Celtics
9,Marcus,Smart,Boston Celtics
10,Jayson,Tatum,Boston Celtics
11,Daniel,Theis,Boston Celtics
12,Kemba,Walker,Boston Celtics
13,Brad,Wanamaker,Boston Celtics
14,Tremont,Waters,Boston Celtics
15,Grant,Williams,Boston Celtics
16,Robert,Williams,Boston Celtics
17,Jarrett,Allen,Brooklyn Nets
18,Wilson,Chandler,Brooklyn Nets
19,Chris,Chiozza,Brooklyn Nets
20,Nicolas,Claxton,Brooklyn Nets
21,Spencer,Dinwiddie,Brooklyn Nets
22,Kevin,Durant,Brooklyn Nets
23,Joe,Harris,Brooklyn Nets
24,Kyrie,Irving,Brooklyn Nets
25,DeAndre,Jordan,Brooklyn Nets
26,Rodions,Kurucs,Brooklyn Nets
27,Caris,LeVert,Brooklyn Nets
28,Timothe,Luwawu-Cabarrot,Brooklyn Nets
29,Jeremiah,Martin,Brooklyn Nets
30,Dzanan,Musa,Brooklyn Nets
31,Theo,Pinson,Brooklyn Nets
32,Taurean,Prince,Brooklyn Nets
33,Garrett,Temple,Brooklyn Nets
34,Kadeem,Allen,New York Knicks
35,RJ,Barrett,New York Knicks
36,Ignas,Brazdeikis,New York Knicks
37,Reggie,Bullock,New York Knicks
38,Damyean,Dotson,New York Knicks
39,Wayne,Ellington,New York Knicks
40,Taj,Gibson,New York Knicks
41,Maurice,Harkless,New York Knicks
42,Kevin,Knox,New York Knicks
43,Frank,Ntilikina,New York Knicks
44,Elfrid,Payton,New York Knicks
45,Bobby,Portis,New York Knicks
46,Julius,Randle,New York Knicks
47,Mitchell,Robinson,New York Knicks
48,Dennis,Smith,New York Knicks
49,Allonzo,Trier,New York Knicks
50,Kenny,Wooten,New York Knicks
51,Alec,Burks,Philadelphia 76ers
52,Joel,Embiid,Philadelphia 76ers
53,Tobias,Harris,Philadelphia 76ers
54,Al,Horford,Philadelphia 76ers
55,Furkan,Korkmaz,Philadelphia 76ers
56,Shake,Milton,Philadelphia 76ers
57,Raul,Neto,Philadelphia 76ers
58,Kyle,O'Quinn,Philadelphia 76ers
59,Norvel,Pelle,Philadelphia 76ers
60,Josh,Richardson,Philadelphia 76ers
61,Glenn,Robinson,Philadelphia 76ers
62,Mike,Scott,Philadelphia 76ers
63,Marial,Shayok,Philadelphia 76ers
64,Ben,Simmons,Philadelphia 76ers
65,Zhaire,Smith,Philadelphia 76ers
66,Matisse,Thybulle,Philadelphia 76ers
67,OG,Anunoby,Toronto Raptors
68,Chris,Boucher,Toronto Raptors
69,Oshae,Brissett,Toronto Raptors
70,Terence,Davis,Toronto Raptors
71,Marc,Gasol,Toronto Raptors
72,Dewan,Hernandez,Toronto Raptors
73,Rondae,Hollis-Jefferson,Toronto Raptors
74,Serge,Ibaka,Toronto Raptors
75,Stanley,Johnson,Toronto Raptors
76,Kyle,Lowry,Toronto Raptors
77,Patrick,McCaw,Toronto Raptors
78,Malcolm,Miller,Toronto Raptors
79,Norman,Powell,Toronto Raptors
80,Pascal,Siakam,Toronto Raptors
81,Matt,Thomas,Toronto Raptors
82,Fred,VanVleet,Toronto Raptors
83,Paul,Watson,Toronto Raptors
84,Ryan,Arcidiacono,Chicago Bulls
85,Wendell,Carter,Chicago Bulls
86,Kris,Dunn,Chicago Bulls
87,Cristiano,Felicio,Chicago Bulls
88,Daniel,Gafford,Chicago Bulls
89,Shaquille,Harrison,Chicago Bulls
90,Chandler,Hutchison,Chicago Bulls
91,Luke,Kornet,Chicago Bulls
92,Zach,LaVine,Chicago Bulls
93,Lauri,Markkanen,Chicago Bulls
94,Adam,Mokoka,Chicago Bulls
95,Otto,Porter,Chicago Bulls
96,Tomas,Satoransky,Chicago Bulls
97,Max,Strus,Chicago Bulls
98,Denzel,Valentine,Chicago Bulls
99,Coby,White,Chicago Bulls
100,Thaddeus,Young,Chicago Bulls
101,Matthew,Dellavedova,Cleveland Cavaliers
102,Andre,Drummond,Cleveland Cavaliers
103,Dante,Exum,Cleveland Cavaliers
104,Darius,Garland,Cleveland Cavaliers
105,Kevin,Love,Cleveland Cavaliers
106,Sheldon,Mac,Cleveland Cavaliers
107,Alfonzo,McKinnie,Cleveland Cavaliers
108,Matt,Mooney,Cleveland Cavaliers
109,Larry,Nance,Cleveland Cavaliers
110,Cedi,Osman,Cleveland Cavaliers
111,Sir'Dominic,Pointer,Cleveland Cavaliers
112,Kevin,Porter,Cleveland Cavaliers
113,Collin,Sexton,Cleveland Cavaliers
114,Tristan,Thompson,Cleveland Cavaliers
115,Dean,Wade,Cleveland Cavaliers
116,Dylan,Windler,Cleveland Cavaliers
117,Ante,Zizic,Cleveland Cavaliers
118,Jordan,Bone,Detroit Pistons
119,Bruce,Brown,Detroit Pistons
120,Sekou,Doumbouya,Detroit Pistons
121,Langston,Galloway,Detroit Pistons
122,Blake,Griffin,Detroit Pistons
123,Donta,Hall,Detroit Pistons
124,John,Henson,Detroit Pistons
125,Luke,Kennard,Detroit Pistons
126,Louis,King,Detroit Pistons
127,Brandon,Knight,Detroit Pistons
128,Thon,Maker,Detroit Pistons
129,Jordan,McRae,Detroit Pistons
130,Sviatoslav,Mykhailiuk,Detroit Pistons
131,Derrick,Rose,Detroit Pistons
132,Tony,Snell,Detroit Pistons
133,Khyri,Thomas,Detroit Pistons
134,Christian,Wood,Detroit Pistons
135,Goga,Bitadze,Indiana Pacers
136,Brian,Bowen,Indiana Pacers
137,Malcolm,Brogdon,Indiana Pacers
138,Aaron,Holiday,Indiana Pacers
139,Justin,Holiday,Indiana Pacers
140,Alize,Johnson,Indiana Pacers
141,Jeremy,Lamb,Indiana Pacers
142,T. J.,Leaf,Indiana Pacers
143,T. J.,McConnell,Indiana Pacers
144,Doug,McDermott,Indiana Pacers
145,Naz,Mitrou-Long,Indiana Pacers
146,Victor,Oladipo,Indiana Pacers
147,Domantas,Sabonis,Indiana Pacers
