MemberID,Position,JerseyNo,Height,Weight,BirthDate,College
0,G/F,7,6 ft 6 in (1.98 m),223 lb (101 kg),1996-10-24,California
1,G,4,5 ft 11 in (1.80 m),200 lb (91 kg),1998-03-12,Purdue
2,C,99,7 ft 5 in (2.26 m),311 lb (141 kg),1995-12-10,UCF
3,G/F,43,6 ft 4 in (1.93 m),205 lb (93 kg),1993-07-23,Radford
4,F,20,6 ft 7 in (2.01 m),225 lb (102 kg),1990-03-23,Butler
5,C,11,6 ft 10 in (2.08 m),250 lb (113 kg),1992-05-20,Kentucky
6,G/F,45,6 ft 4 in (1.93 m),216 lb (98 kg),1999-10-25,Indiana
7,F,37,6 ft 6 in (1.98 m),240 lb (109 kg),1994-12-05,SMU
8,F/C,77,7 ft 0 in (2.13 m),235 lb (107 kg),1993-10-27,NaN
9,G,36,6 ft 3 in (1.91 m),220 lb (100 kg),1994-03-06,Oklahoma State
10,G/F,0,6 ft 8 in (2.03 m),210 lb (95 kg),1998-03-03,Duke
11,F/C,27,6 ft 8 in (2.03 m),245 lb (111 kg),1992-04-04,NaN
12,G,8,6 ft 0 in (1.83 m),184 lb (83 kg),1990-05-08,Connecticut
13,G,9,6 ft 3 in (1.91 m),210 lb (95 kg),1989-07-25,Pittsburgh
14,G,51,5 ft 10 in (1.78 m),175 lb (79 kg),1998-01-10,LSU
15,F,12,6 ft 6 in (1.98 m),236 lb (107 kg),1998-11-30,Tennessee
16,F/C,44,6 ft 8 in (2.03 m),237 lb (108 kg),1997-10-17,Texas A&M
17,C,31,6 ft 11 in (2.11 m),243 lb (110 kg),1998-04-21,Texas
18,F,21,6 ft 8 in (2.03 m),235 lb (107 kg),1987-05-10,DePaul
19,G,4,5 ft 11 in (1.80 m),176 lb (80 kg),1995-11-25,Florida
20,F/C,33,6 ft 11 in (2.11 m),215 lb (98 kg),1999-04-17,Georgia
21,G,26,6 ft 5 in (1.96 m),215 lb (98 kg),1993-04-06,Colorado
22,F,7,6 ft 10 in (2.08 m),240 lb (109 kg),1988-09-29,Texas
23,G/F,12,6 ft 6 in (1.98 m),220 lb (100 kg),1991-09-07,Virginia
