FirstName,LastName,CurrentGamesCoached,CurrentGamesWon,CurrentGamesLost,CurrentWin%
Lloyd,Pierce,82,29,53,0.354
Brad,Stevens,492,270,222,0.549
Jacque,Vaughn,0,0,0,0
James,Borrego,82,39,43,0.476
Jim,Boylen,58,17,41,0.293
J. B.,Bickerstaff,0,0,0,0
Rick,Carlisle,886,470,416,0.53
Michael,Malone,328,173,155,0.527
Dwane,Casey,82,41,41,0.5
Steve,Kerr,410,322,88,0.785
Mike,D'Antoni,246,173,73,0.703
Nate,McMillan,246,138,108,0.561
Doc,Rivers,492,307,185,0.624
Frank,Vogel,0,0,0,0
Taylor,Jenkins,0,0,0,0
Erik,Spoelstra,886,523,363,0.59
Mike,Budenholzer,82,60,22,0.732
Ryan,Saunders,42,17,25,0.405
Alvin,Gentry,328,145,183,0.442
Mike,Miller,0,0,0,0
Billy,Donovan,328,199,129,0.607
Steve,Clifford,82,42,40,0.512
Brett,Brown,492,178,314,0.362
Monty,Williams,0,0,0,0
Terry,Stotts,609,345,264,0.56
Luke,Walton,0,0,0,0
Gregg,Popovich,1820,1245,575,0.684
Nick,Nurse,82,58,24,0.707
Quin,Snyder,410,227,183,0.554
Scott,Brooks,326,124,122,0.504
