GameDate,GameStartET,DateId,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-10-17,8:01p,1,Boston Celtics,99,Cleveland Cavaliers,102,,20562,Rocket Mortgage FieldHouse
2017-10-17,10:30p,1,Houston Rockets,122,Golden State Warriors,121,,19596,Chase Center
2017-10-18,7:00p,2,Charlotte Hornets,90,Detroit Pistons,102,,20491,Little Caesars Arena
2017-10-18,7:00p,2,Brooklyn Nets,131,Indiana Pacers,140,,15008,Bankers Life Fieldhouse
2017-10-18,7:00p,2,Miami Heat,109,Orlando Magic,116,,18846,Amway Center
2017-10-18,7:00p,2,Philadelphia 76ers,115,Washington Wizards,120,,20356,Capital One Arena
2017-10-18,7:30p,2,Milwaukee Bucks,108,Boston Celtics,100,,18624,TD Garden
2017-10-18,8:00p,2,New Orleans Pelicans,91,Memphis Grizzlies,103,,17794,FedExForum
2017-10-18,8:30p,2,Atlanta Hawks,117,Dallas Mavericks,111,,19709,American Airlines Center
2017-10-18,9:00p,2,Denver Nuggets,96,Utah Jazz,106,,17588,Vivint Smart Home Arena
2017-10-18,9:30p,2,Minnesota Timberwolves,99,San Antonio Spurs,107,,18418,AT&T Center
2017-10-18,10:00p,2,Portland Trail Blazers,124,Phoenix Suns,76,,18055,Talking Stick Resort Arena
2017-10-18,10:00p,2,Houston Rockets,105,Sacramento Kings,100,,17583,Golden 1 Center
2017-10-19,7:30p,3,Chicago Bulls,100,Toronto Raptors,117,,19800,Scotiabank Arena
2017-10-19,8:00p,3,New York Knicks,84,Oklahoma City Thunder,105,,18203,Chesapeake Energy Arena
2017-10-19,10:30p,3,Los Angeles Clippers,108,Los Angeles Lakers,92,,18997,Staples Center
2017-10-20,7:00p,4,Atlanta Hawks,91,Charlotte Hornets,109,,18417,Spectrum Center
2017-10-20,7:00p,4,Portland Trail Blazers,114,Indiana Pacers,96,,15325,Bankers Life Fieldhouse
2017-10-20,7:00p,4,Cleveland Cavaliers,116,Milwaukee Bucks,97,,18717,Fiserv Forum
2017-10-20,7:00p,4,Boston Celtics,102,Philadelphia 76ers,92,,20816,Wells Fargo Center
2017-10-20,7:00p,4,Detroit Pistons,111,Washington Wizards,115,,16337,Capital One Arena
2017-10-20,7:30p,4,Orlando Magic,121,Brooklyn Nets,126,,16144,Barclays Center
2017-10-20,8:00p,4,Utah Jazz,97,Minnesota Timberwolves,100,,18978,Target Center
2017-10-20,8:30p,4,Sacramento Kings,93,Dallas Mavericks,88,,19273,American Airlines Center
2017-10-20,9:30p,4,Golden State Warriors,128,New Orleans Pelicans,120,,18171,Smoothie King Center
2017-10-20,10:00p,4,Los Angeles Lakers,132,Phoenix Suns,130,,18055,Talking Stick Resort Arena
2017-10-21,7:30p,5,Philadelphia 76ers,94,Toronto Raptors,128,,19800,Scotiabank Arena
2017-10-21,8:00p,5,San Antonio Spurs,87,Chicago Bulls,77,,21640,United Center
2017-10-21,8:00p,5,Orlando Magic,114,Cleveland Cavaliers,93,,20562,Rocket Mortgage FieldHouse
2017-10-21,8:00p,5,Dallas Mavericks,91,Houston Rockets,107,,18055,Toyota Center
2017-10-21,8:00p,5,Golden State Warriors,101,Memphis Grizzlies,111,,17794,FedExForum
2017-10-21,8:00p,5,Indiana Pacers,108,Miami Heat,112,,19600,American Airlines Arena
2017-10-21,8:00p,5,Detroit Pistons,111,New York Knicks,107,,19812,Madison Square Garden
2017-10-21,8:30p,5,Portland Trail Blazers,110,Milwaukee Bucks,113,,16211,Fiserv Forum
2017-10-21,9:00p,5,Sacramento Kings,79,Denver Nuggets,96,,19520,Pepsi Center
